timestamp,x(m),y(m),theta(rad)
1746001646.720175,0.809406,1.406142,1.958481
1746001646.770138,0.805338,1.408931,1.965790
1746001646.820184,0.803787,1.416521,1.952174
1746001646.870150,0.800950,1.419666,1.949435
1746001646.920225,0.799054,1.423149,1.947649
1746001646.970461,0.799054,1.423149,1.947649
1746001647.020221,0.798967,1.431719,1.926885
1746001647.070305,0.797264,1.436912,1.920206
1746001647.120276,0.795218,1.442887,1.915569
1746001647.170209,0.794876,1.446959,1.907773
1746001647.220226,0.794135,1.450805,1.901378
1746001647.270198,0.794135,1.450805,1.901378
1746001647.320168,0.792439,1.459453,1.889003
1746001647.370159,0.791253,1.464093,1.882337
1746001647.420160,0.790121,1.468287,1.876731
1746001647.470176,0.790121,1.468287,1.876731
1746001647.520271,0.787829,1.476659,1.863346
1746001647.570212,0.787829,1.476659,1.863346
1746001647.620192,0.787829,1.476659,1.863346
1746001647.670212,0.784792,1.488479,1.838472
1746001647.720197,0.783124,1.492883,1.834780
1746001647.770144,0.783435,1.497094,1.825635
1746001647.820122,0.782360,1.501361,1.818744
1746001647.870168,0.779553,1.504647,1.820753
1746001647.920128,0.779249,1.509283,1.816305
1746001647.970172,0.780026,1.513412,1.803799
1746001648.020386,0.778157,1.517641,1.798543
1746001648.070281,0.778157,1.517641,1.798543
1746001648.120150,0.775916,1.525287,1.791524
1746001648.170150,0.775916,1.525287,1.791524
1746001648.220071,0.774330,1.533223,1.777578
1746001648.270084,0.772956,1.537799,1.774708
1746001648.320109,0.771741,1.543207,1.771159
1746001648.370178,0.771151,1.548730,1.765678
1746001648.420100,0.771302,1.552274,1.757936
1746001648.470150,0.770678,1.556971,1.752490
1746001648.520200,0.769611,1.560857,1.749299
1746001648.570184,0.769611,1.560857,1.749299
1746001648.620189,0.767884,1.568839,1.737922
1746001648.670175,0.767884,1.568839,1.737922
1746001648.720298,0.767701,1.575643,1.724812
1746001648.770164,0.767049,1.579881,1.721077
1746001648.820127,0.766337,1.583272,1.715992
1746001648.870124,0.766337,1.583272,1.715992
1746001648.920146,0.764430,1.591259,1.708755
1746001648.970187,0.765693,1.595409,1.695760
1746001649.020190,0.763771,1.599375,1.691209
1746001649.070232,0.763771,1.599375,1.691209
1746001649.120260,0.762460,1.607404,1.690950
1746001649.170351,0.764851,1.610696,1.674083
1746001649.220263,0.764851,1.610696,1.674083
1746001649.270297,0.763743,1.615021,1.665267
