timestamp,x(m),y(m),theta(rad)
1746002312.449954,1.228858,2.206131,1.418623
1746002312.499741,1.231060,2.214709,1.430239
1746002312.549717,1.230196,2.218649,1.442016
1746002312.599773,1.230196,2.218649,1.442016
1746002312.649795,1.230637,2.228127,1.461207
1746002312.699843,1.230637,2.228127,1.461207
1746002312.749701,1.229839,2.238439,1.482746
1746002312.799681,1.230650,2.242645,1.489358
1746002312.849717,1.230850,2.246065,1.494601
1746002312.899772,1.230565,2.250631,1.498916
1746002312.949690,1.230565,2.250631,1.498916
1746002312.999749,1.230297,2.260374,1.508271
1746002313.049705,1.231395,2.264854,1.503784
1746002313.099651,1.233110,2.268760,1.493532
1746002313.149718,1.231970,2.272859,1.491210
1746002313.199634,1.231439,2.276047,1.492268
1746002313.249717,1.231439,2.276047,1.492268
1746002313.299737,1.236848,2.281551,1.466192
1746002313.349772,1.236764,2.286460,1.465310
1746002313.399611,1.236764,2.286460,1.465310
1746002313.449775,1.238862,2.292906,1.468553
1746002313.499659,1.238862,2.292906,1.468553
1746002313.549698,1.239032,2.300676,1.472222
1746002313.599815,1.239032,2.300676,1.472222
1746002313.649708,1.241201,2.308138,1.486052
1746002313.699580,1.241311,2.312494,1.493879
1746002313.749686,1.240589,2.316086,1.505528
1746002313.799639,1.240211,2.319409,1.514805
1746002313.849730,1.240006,2.323533,1.521595
1746002313.899625,1.239625,2.328645,1.527775
1746002313.949656,1.239262,2.333568,1.533472
1746002313.999737,1.238903,2.338716,1.539096
1746002314.049653,1.238673,2.343788,1.544640
1746002314.099684,1.238379,2.348615,1.551399
1746002314.149706,1.238073,2.353185,1.558511
1746002314.199826,1.238073,2.353185,1.558511
1746002314.249702,1.237829,2.362720,1.571530
1746002314.299636,1.237829,2.362720,1.571530
1746002314.349736,1.236204,2.366425,1.583393
1746002314.399686,1.238810,2.374622,1.589518
1746002314.449937,1.239200,2.380001,1.585886
1746002314.499671,1.236796,2.385118,1.592364
1746002314.549848,1.236541,2.388589,1.599222
1746002314.599626,1.238711,2.391071,1.593980
1746002314.649766,1.239427,2.395509,1.586908
1746002314.699697,1.237262,2.399819,1.591836
1746002314.749702,1.236633,2.404219,1.601923
1746002314.799680,1.236633,2.404219,1.601923
1746002314.849703,1.236633,2.404219,1.601923
1746002314.899635,1.236636,2.415620,1.618140
1746002314.949715,1.236613,2.419595,1.622000
1746002314.999664,1.236208,2.424744,1.626765
1746002315.049588,1.234665,2.429108,1.633993
1746002315.099648,1.233843,2.432334,1.641840
1746002315.149731,1.233325,2.437873,1.648069
1746002315.199683,1.233328,2.442331,1.651401
1746002315.249708,1.234349,2.445354,1.649718
1746002315.299713,1.234349,2.445354,1.649718
1746002315.349626,1.231716,2.452157,1.664913
1746002315.399632,1.231716,2.452157,1.664913
1746002315.449713,1.229106,2.455605,1.682408
1746002315.499612,1.229106,2.455605,1.682408
1746002315.549646,1.229959,2.469814,1.699624
1746002315.599621,1.228510,2.473248,1.716943
1746002315.649793,1.228748,2.478059,1.727136
1746002315.699793,1.229448,2.483351,1.727578
1746002315.749913,1.229448,2.483351,1.727578
1746002315.799615,1.225440,2.490130,1.736630
1746002315.849708,1.225229,2.493022,1.730083
1746002315.899663,1.224809,2.497143,1.718372
1746002315.949734,1.223377,2.502447,1.711702
1746002315.999823,1.223377,2.502447,1.711702
1746002316.049732,1.223377,2.502447,1.711702
1746002316.099689,1.223562,2.514769,1.683869
1746002316.149661,1.221786,2.518462,1.683441
1746002316.199894,1.221599,2.522404,1.684305
1746002316.249633,1.222217,2.526043,1.681024
1746002316.299675,1.222668,2.529171,1.680610
1746002316.349708,1.222486,2.534010,1.682518
1746002316.399640,1.222645,2.538675,1.681467
1746002316.449721,1.222645,2.538675,1.681467
1746002316.499720,1.222645,2.538675,1.681467
1746002316.549646,1.224911,2.548278,1.671346
1746002316.599682,1.222106,2.551657,1.687161
1746002316.649770,1.221254,2.556759,1.699714
1746002316.699693,1.223228,2.560934,1.699835
1746002316.749704,1.221816,2.564138,1.704482
1746002316.799659,1.219035,2.566382,1.722311
1746002316.849746,1.219035,2.566382,1.722311
1746002316.899716,1.218640,2.574533,1.745238
1746002316.949727,1.219479,2.578275,1.743937
1746002316.999780,1.219479,2.578275,1.743937
1746002317.049710,1.219479,2.578275,1.743937
1746002317.099724,1.213923,2.589058,1.774496
1746002317.149719,1.214921,2.591973,1.769833
1746002317.199690,1.214921,2.591973,1.769833
1746002317.249645,1.211488,2.600559,1.774059
1746002317.299710,1.211092,2.604002,1.777930
1746002317.349724,1.212202,2.607916,1.774818
1746002317.399697,1.210970,2.612186,1.776896
1746002317.449663,1.210037,2.615564,1.781976
1746002317.499644,1.211211,2.619339,1.778918
1746002317.549801,1.211211,2.619339,1.778918
1746002317.599637,1.211211,2.619339,1.778918
1746002317.649875,1.209751,2.634692,1.778493
1746002317.699719,1.211437,2.638787,1.776067
1746002317.749712,1.209642,2.643895,1.778684
1746002317.799656,1.208185,2.648763,1.782044
1746002317.849694,1.208185,2.648763,1.782044
